iteration,max_reward,mean_reward,min_reward,std_reward,ALGORITHM,SEED,NUM_ENVS,NUM_STEPS,TOTAL_GENERATIONS,POP_SIZE,EVO_STRATEGY,ENV_NAME,GRID_SIZE,N_AGENTS,N_PREY,PREY_VISIBLE_RANGE,PREY_AUDIBLE_RANGE,N_AGENT_SOUNDS,N_PREY_SOUNDS,N_OVERLAPPING_SOUNDS,OBSERVE_OTHER_AGENTS_POS,WANDB_MODE,ENTITY,PROJECT,CHECKPOINT_INTERVAL,KEEP_CHECKPOINTS,experiment_id,overlapping_sounds
2200,2.1249992847442627,-1.3242192268371582,-3.625000476837158,0.9562496542930604,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2250,1.6249996423721311,-1.1181645393371582,-3.5000007152557373,0.9134691953659058,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2300,1.8749996423721316,-1.3710942268371582,-4.250000953674316,0.9136200547218324,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2350,2.749999761581421,-0.5644536018371582,-3.000000476837158,1.0302414894104004,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2400,3.124999761581421,0.0043941028416156,-2.625000476837158,1.1687636375427246,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2450,5.249999523162842,0.8095698356628418,-3.625000715255737,1.2747036218643188,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2500,4.499999523162842,0.2680659890174866,-2.000000476837158,1.1206963062286377,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2550,3.124999523162842,-0.0419926345348358,-2.7500007152557373,1.1301182508468628,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2600,4.624999523162842,0.5649410486221313,-2.3750007152557373,1.3342665433883667,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2650,5.249999523162842,0.6904292106628418,-3.250000476837158,1.4595342874526978,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2700,6.75,1.9287104606628416,-2.625000476837158,1.450323462486267,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2750,6.374999523162842,1.4853510856628418,-2.625000476837158,1.4717075824737549,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2800,6.749999523162842,2.081542491912842,-1.6250003576278689,1.5670257806777954,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2850,5.749999523162842,1.6684565544128418,-2.375000476837158,1.506780982017517,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2900,5.499999523162842,1.3862301111221311,-1.8750003576278689,1.4914904832839966,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
2950,7.249999523162842,2.083983898162842,-1.6250003576278689,1.6059284210205078,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3000,7.874999523162842,3.301757335662842,-1.2500003576278689,1.7096011638641355,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
