iteration,max_reward,mean_reward,min_reward,std_reward,ALGORITHM,SEED,NUM_ENVS,NUM_STEPS,TOTAL_GENERATIONS,POP_SIZE,EVO_STRATEGY,ENV_NAME,GRID_SIZE,N_AGENTS,N_PREY,PREY_VISIBLE_RANGE,PREY_AUDIBLE_RANGE,N_AGENT_SOUNDS,N_PREY_SOUNDS,N_OVERLAPPING_SOUNDS,OBSERVE_OTHER_AGENTS_POS,WANDB_MODE,ENTITY,PROJECT,CHECKPOINT_INTERVAL,KEEP_CHECKPOINTS,experiment_id,overlapping_sounds
3700,-0.125000387430191,-2.031250476837158,-4.000000953674316,0.7648274898529053,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3750,0.2499996423721313,-2.287109851837158,-4.250000953674316,0.7306854128837585,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3800,0.3749996125698089,-1.977051019668579,-3.875000476837158,0.7574649453163147,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3850,0.2499995678663253,-1.9130862951278689,-4.000000953674316,0.8087441325187683,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3900,0.1249996200203895,-2.284180164337158,-4.000000953674316,0.7503604888916016,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
3950,1.7499996423721311,-1.798340082168579,-3.875000715255737,0.9362203478813172,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4000,-0.6250004172325134,-2.740234851837158,-4.125000476837158,0.5831934213638306,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4050,0.6249996423721313,-1.9331058263778689,-4.125000953674316,0.7913289666175842,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4100,-0.5000003576278687,-2.452637195587158,-4.250000953674316,0.6384417414665222,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4150,-4.76837158203125e-07,-1.842285394668579,-3.750000715255737,0.7853589653968811,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4200,-4.76837158203125e-07,-2.340820789337158,-4.375000953674316,0.7113606929779053,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4250,0.1249995455145835,-2.201172351837158,-4.125000953674316,0.7242881655693054,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4300,1.1249996423721311,-1.720703363418579,-4.000000953674316,0.8952026963233948,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4350,-0.2500004768371582,-2.379883289337158,-4.250000953674316,0.6889017224311829,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4400,0.6249995231628418,-1.805176019668579,-3.875000715255737,0.8831623196601868,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4450,-0.6250004172325134,-2.672363758087158,-4.125000476837158,0.6125839948654175,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4500,-0.125000387430191,-2.270020008087158,-4.125000953674316,0.7388674020767212,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
4550,1.4999996423721311,-1.1875004768371582,-3.625000715255737,0.9144296646118164,EVO,0,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,0,False,online,drcope,mimicry-comm,20,3,-773815463696769306,False
